ContainmentHealthIndex_Average,ContainmentHealthIndex_Average_ForDisplay
0,0
2.38,2.38
9.52,9.52
16.67,16.67
26.19,26.19
29.76,29.76
36.9,36.9
67.86,67.86
70.24,70.24
65.48,65.48
55.95,55.95
53.57,53.57
50,50
47.62,47.62
41.07,41.07
51.79,51.79
56.55,56.55
61.31,61.31
63.1,63.1
59.52,59.52
47.02,47.02
44.64,44.64
39.29,39.29
38.69,38.69
43.45,43.45
49.4,49.4
48.21,48.21
45.83,45.83
50.48,50.48
54.05,54.05
58.81,58.81
65.95,65.95
61.19,61.19
64.05,64.05
60.12,60.12
57.74,57.74
39.88,39.88
35.12,35.12
27.38,27.38
40.48,40.48
45.24,45.24
42.86,42.86
34.52,34.52
40.83,40.83
39.94,39.94
43.21,43.21
42.26,42.26
33.33,33.33
31.55,31.55
7.74,7.74
11.31,11.31
55.36,55.36
62.5,62.5
66.07,66.07
71.43,71.43
72.62,72.62
69.05,69.05
66.67,66.67
64.29,64.29
57.14,57.14
52.98,52.98
20.24,20.24
15.48,15.48
17.26,17.26
19.05,19.05
18.33,18.33
16.55,16.55
28.45,28.45
26.07,26.07
31.43,31.43
49.29,49.29
37.38,37.38
40.95,40.95
42.14,42.14
38.93,38.93
45.18,45.18
48.04,48.04
44.94,44.94
42.8,42.8
18.1,18.1
15.71,15.71
36.55,36.55
31.79,31.79
24.64,24.64
19.29,19.29
17.5,17.5
13.93,13.93
18.21,18.21
19.64,19.64
14.88,14.88
13.1,13.1
3.57,3.57
5.95,5.95
23.81,23.81
60.71,60.71
68.45,68.45
58.93,58.93
61.01,61.01
62.8,62.8
63.99,63.99
58.33,58.33
51.19,51.19
50.3,50.3
52.38,52.38
50.6,50.6
51.9,51.9
55.48,55.48
57.26,57.26
54.88,54.88
59.05,59.05
43.57,43.57
51.61,51.61
56.25,56.25
58.63,58.63
64.88,64.88
62.2,62.2
57.44,57.44
71.62,71.62
71.57,71.57
71.55,71.55
71.5,71.5
71.47,71.47
69.68,69.68
69.62,69.62
69.56,69.56
69.52,69.52
71.2,71.2
71.17,71.17
71.14,71.14
71.11,71.11
71.08,71.08
52.33,52.33
52.29,52.29
52.27,52.27
52.24,52.24
52.19,52.19
51.05,51.05
51.02,51.02
50.99,50.99
41.46,41.46
41.43,41.43
41.42,41.42
36.65,36.65
36.63,36.63
36.62,36.62
36.61,36.61
33.04,33.04
33.03,33.03
33.02,33.02
33.01,33.01
27.65,27.65
7.14,7.14
30.95,30.95
41.67,41.67
67.26,67.26
75,75
70.83,70.83
73.81,73.81
66.31,66.31
67.74,67.74
64.17,64.17
65.36,65.36
62.98,62.98
56.43,56.43
52.86,52.86
47.5,47.5
48.93,48.93
45.6,45.6
47.38,47.38
48.81,48.81
54.17,54.17
58.19,58.19
58.18,58.18
56.4,56.4
56.39,56.39
49.24,49.24
49.23,49.23
32.14,32.14
44.05,44.05
61.55,61.55
64.4,64.4
62.62,62.62
58.1,58.1
55.71,55.71
59.88,59.88
56.96,56.96
55.86,55.86
60.02,60.02
59.91,59.91
64.08,64.08
65.83,65.83
65.72,65.72
64.15,64.15
54.63,54.63
54.39,54.39
54.38,54.38
38.1,38.1
32.74,32.74
25.6,25.6
1.79,1.79
8.93,8.93
12.5,12.5
20.83,20.83
23.21,23.21
30.36,30.36
33.93,33.93
79.17,79.17
83.93,83.93
82.14,82.14
78.57,78.57
76.19,76.19
54.76,54.76
52.62,52.62
57.38,57.38
61.67,61.67
65.24,65.24
62.56,62.56
61.13,61.13
60.24,60.24
56.67,56.67
58.45,58.45
62.26,62.26
63.45,63.45
63.69,63.69
65.98,65.98
62.7,62.7
64.56,64.56
66.33,66.33
66.29,66.29
66.27,66.27
66.26,66.26
66.25,66.25
66.23,66.23
66.22,66.22
66.19,66.19
66.13,66.13
66.12,66.12
67.31,67.31
67.29,67.29
67.23,67.23
67.22,67.22
67.21,67.21
67.17,67.17
67.16,67.16
67.14,67.14
67.13,67.13
67.12,67.12
67.1,67.1
67.09,67.09
67.08,67.08
67.06,67.06
67.05,67.05
67.04,67.04
