GovernmentResponseIndex_Average,GovernmentResponseIndex_Average_ForDisplay
0,0
2.08,2.08
8.33,8.33
14.58,14.58
22.92,22.92
26.04,26.04
32.29,32.29
59.37,59.37
70.31,70.31
72.4,72.4
68.23,68.23
59.9,59.9
57.81,57.81
54.69,54.69
52.6,52.6
46.88,46.88
43.75,43.75
53.12,53.12
57.29,57.29
61.46,61.46
65.1,65.1
63.02,63.02
56.77,56.77
48.96,48.96
46.87,46.87
42.19,42.19
41.67,41.67
45.83,45.83
35.42,35.42
35.94,35.94
39.06,39.06
43.23,43.23
40.1,40.1
44.17,44.17
47.29,47.29
48.85,48.85
53.02,53.02
59.27,59.27
65.52,65.52
55.1,55.1
57.6,57.6
58.85,58.85
54.17,54.17
52.08,52.08
50.52,50.52
36.46,36.46
33.85,33.85
25.52,25.52
36.98,36.98
41.15,41.15
31.77,31.77
37.29,37.29
36.51,36.51
39.37,39.37
38.54,38.54
44.27,44.27
29.17,29.17
27.6,27.6
6.77,6.77
9.9,9.9
30.73,30.73
48.44,48.44
59.38,59.38
62.5,62.5
63.54,63.54
60.42,60.42
58.33,58.33
56.25,56.25
50,50
46.35,46.35
23.96,23.96
17.71,17.71
13.54,13.54
15.1,15.1
16.67,16.67
16.04,16.04
14.48,14.48
24.9,24.9
22.81,22.81
27.5,27.5
43.12,43.12
32.71,32.71
35.83,35.83
36.88,36.88
34.06,34.06
39.53,39.53
42.03,42.03
39.32,39.32
37.45,37.45
15.83,15.83
13.75,13.75
31.98,31.98
27.81,27.81
21.56,21.56
16.88,16.88
15.31,15.31
12.19,12.19
15.94,15.94
17.19,17.19
13.02,13.02
11.46,11.46
3.12,3.12
5.21,5.21
20.83,20.83
55.21,55.21
66.15,66.15
60.94,60.94
64.06,64.06
61.98,61.98
55.73,55.73
56.51,56.51
58.07,58.07
59.11,59.11
47.92,47.92
47.14,47.14
45.42,45.42
48.54,48.54
50.1,50.1
48.02,48.02
51.67,51.67
38.12,38.12
45.16,45.16
49.22,49.22
51.3,51.3
54.43,54.43
50.26,50.26
53.39,53.39
62.66,62.66
62.62,62.62
62.61,62.61
62.56,62.56
62.53,62.53
60.97,60.97
60.92,60.92
60.87,60.87
60.84,60.84
62.31,62.31
62.27,62.27
62.25,62.25
62.22,62.22
62.2,62.2
45.79,45.79
45.76,45.76
45.74,45.74
45.71,45.71
48.83,48.83
48.8,48.8
47.79,47.79
47.77,47.77
47.74,47.74
39.4,39.4
39.36,39.36
35.2,35.2
35.18,35.18
35.17,35.17
35.16,35.16
32.03,32.03
32.02,32.02
32.01,32.01
27.32,27.32
6.25,6.25
27.08,27.08
71.35,71.35
73.44,73.44
69.79,69.79
73.96,73.96
65.62,65.62
64.27,64.27
67.4,67.4
68.65,68.65
62.4,62.4
63.44,63.44
61.35,61.35
53.54,53.54
55.62,55.62
52.5,52.5
47.81,47.81
49.06,49.06
44.06,44.06
46.15,46.15
47.71,47.71
53.65,53.65
51.04,51.04
57.17,57.17
57.16,57.16
55.6,55.6
55.59,55.59
37.5,37.5
43.09,43.09
43.08,43.08
28.12,28.12
33.33,33.33
44.79,44.79
66.04,66.04
63.96,63.96
66.35,66.35
67.6,67.6
68.85,68.85
67.29,67.29
64.17,64.17
65.42,65.42
57.08,57.08
55.52,55.52
53.44,53.44
67.19,67.19
62.34,62.34
61.37,61.37
65.02,65.02
64.92,64.92
68.57,68.57
68.54,68.54
70.11,70.11
70.01,70.01
68.63,68.63
60.3,60.3
60.09,60.09
45.31,45.31
42.71,42.71
39.58,39.58
28.65,28.65
22.4,22.4
1.56,1.56
7.81,7.81
10.94,10.94
18.23,18.23
20.31,20.31
26.56,26.56
29.69,29.69
47.4,47.4
75.52,75.52
79.69,79.69
78.12,78.12
75,75
72.92,72.92
68.75,68.75
67.71,67.71
52.29,52.29
56.46,56.46
60.21,60.21
63.33,63.33
60.99,60.99
59.74,59.74
58.96,58.96
55.83,55.83
57.4,57.4
60.73,60.73
61.77,61.77
62.29,62.29
63.98,63.98
61.11,61.11
62.75,62.75
64.29,64.29
64.26,64.26
64.24,64.24
64.23,64.23
64.22,64.22
64.21,64.21
64.19,64.19
64.12,64.12
64.11,64.11
65.14,65.14
65.13,65.13
65.08,65.08
65.07,65.07
65.06,65.06
65.03,65.03
65,65
64.99,64.99
64.98,64.98
64.97,64.97
64.95,64.95
64.94,64.94
64.93,64.93
64.91,64.91
64.9,64.9
65.41,65.41
65.4,65.4
59.66,59.66
53.68,53.68
53.66,53.66
53.64,53.64
53.59,53.59
53.57,53.57
52.01,52.01
51.83,51.83
52.58,52.58
52.56,52.56
52.54,52.54
52.46,52.46
52.43,52.43
52.4,52.4
52.39,52.39
52.37,52.37
52.34,52.34
52.3,52.3
52.27,52.27
52.24,52.24
52.2,52.2
51.49,51.49
51.48,51.48
53.91,53.91
46.09,46.09
44.86,44.86
44.85,44.85
42.76,42.76
42.75,42.75
42.74,42.74
42.73,42.73
42.72,42.72
39.6,39.6
39.59,39.59
39.57,39.57
39.56,39.56
38,38
37.99,37.99
37.93,37.93
37.92,37.92
42.13,42.13
42.11,42.11
42.1,42.1
42.07,42.07
40.5,40.5
45.19,45.19
12.5,12.5
38.02,38.02
64.58,64.58
80.21,80.21
84.9,84.9
83.85,83.85
78.65,78.65
81.77,81.77
76.56,76.56
77.6,77.6
76.04,76.04
75.26,75.26
73.7,73.7
74.74,74.74
73.18,73.18
71.09,71.09
72.34,72.34
69.22,69.22
68.18,68.18
69.43,69.43
66.3,66.3
70.68,70.68
74.58,74.58
73.02,73.02
70.94,70.94
72.19,72.19
69.38,69.38
68.94,68.94
68.93,68.93
68.91,68.91
68.9,68.9
68.88,68.88
68.87,68.87
68.84,68.84
68.82,68.82
68.8,68.8
68.78,68.78
70.54,70.54
70.53,70.53
70.51,70.51
70.49,70.49
70.47,70.47
70.45,70.45
70.42,70.42
70.41,70.41
70.4,70.4
70.39,70.39
70.37,70.37
70.34,70.34
70.32,70.32
70.3,70.3
70.29,70.29
70.28,70.28
70.26,70.26
70.23,70.23
70.21,70.21
70.18,70.18
70.16,70.16
70.14,70.14
70.13,70.13
70.09,70.09
70.06,70.06
70.03,70.03
69.99,69.99
69.98,69.98
69.95,69.95
69.92,69.92
69.9,69.9
69.88,69.88
69.86,69.86
69.85,69.85
69.83,69.83
69.81,69.81
69.77,69.77
69.75,69.75
69.73,69.73
69.7,69.7
69.69,69.69
69.67,69.67
69.66,69.66
69.64,69.64
69.63,69.63
69.62,69.62
69.6,69.6
69.58,69.58
69.57,69.57
51.33,51.33
51.32,51.32
51.31,51.31
51.29,51.29
51.28,51.28
51.27,51.27
48.14,48.14
48.13,48.13
48.12,48.12
48.11,48.11
48.1,48.1
48.09,48.09
48.08,48.08
48.07,48.07
48.06,48.06
48.05,48.05
48.04,48.04
48.03,48.03
48.01,48.01
48,48
47.99,47.99
46.1,46.1
45.1,45.1
45.04,45.04
44.99,44.99
44.92,44.92
44.9,44.9
44.89,44.89
44.87,44.87
44.82,44.82
44.77,44.77
44.73,44.73
44.68,44.68
44.66,44.66
44.65,44.65
44.6,44.6
44.56,44.56
44.52,44.52
44.48,44.48
44.44,44.44
44.43,44.43
44.41,44.41
44.37,44.37
43.81,43.81
43.79,43.79
43.76,43.76
43.73,43.73
43.71,43.71
43.7,43.7
43.67,43.67
43.63,43.63
43.6,43.6
46.7,46.7
46.67,46.67
46.66,46.66
46.65,46.65
46.62,46.62
46.59,46.59
46.56,46.56
46.54,46.54
46.53,46.53
46.49,46.49
46.46,46.46
46.43,46.43
46.4,46.4
45.28,45.28
45.24,45.24
45.2,45.2
39.91,39.91
39.87,39.87
39.85,39.85
39.84,39.84
39.8,39.8
39.77,39.77
39.74,39.74
39.72,39.72
39.69,39.69
39.68,39.68
39.65,39.65
39.63,39.63
39.55,39.55
39.52,39.52
39.5,39.5
39.48,39.48
39.45,39.45
39.43,39.43
39.42,39.42
39.39,39.39
39.35,39.35
39.33,39.33
39.31,39.31
39.3,39.3
39.27,39.27
39.25,39.25
39.23,39.23
39.21,39.21
39.2,39.2
39.19,39.19
39.18,39.18
39.16,39.16
39.15,39.15
39.13,39.13
39.11,39.11
39.09,39.09
39.08,39.08
39.07,39.07
39.05,39.05
39.03,39.03
39.02,39.02
39,39
38.99,38.99
38.98,38.98
36.89,36.89
36.87,36.87
36.86,36.86
36.85,36.85
36.84,36.84
36.83,36.83
36.82,36.82
36.81,36.81
36.8,36.8
36.79,36.79
36.78,36.78
36.77,36.77
38.97,38.97
38.96,38.96
38.95,38.95
38.94,38.94
38.65,38.65
38.64,38.64
38.63,38.63
36.54,36.54
36.53,36.53
36.52,36.52
36.5,36.5
37.02,37.02
37.01,37.01
37,37
38.04,38.04
38.03,38.03
38.01,38.01
34.88,34.88
34.87,34.87
38.52,38.52
38.51,38.51
24.25,24.25
28.41,28.41
26.85,26.85
20.95,20.95
25.12,25.12
22.67,22.67
16.15,16.15
19.27,19.27
34.38,34.38
40.63,40.63
60.16,60.16
61.72,61.72
59.64,59.64
57.55,57.55
63.8,63.8
69.53,69.53
70.83,70.83
61.2,61.2
54.95,54.95
58.23,58.23
54.84,54.84
53.8,53.8
50.68,50.68
53.18,53.18
58.39,58.39
55.26,55.26
70.1,70.1
66.98,66.98
50.83,50.83
50.05,50.05
46.93,46.93
43.8,43.8
56.56,56.56
49.79,49.79
51.87,51.87
42.24,42.24
45.36,45.36
48.49,48.49
54.48,54.48
62.81,62.81
50.42,50.42
49.63,49.63
49.62,49.62
50.39,50.39
50.38,50.38
50.37,50.37
51.5,51.5
43.9,43.9
43.89,43.89
43.88,43.88
40.74,40.74
40.73,40.73
40.72,40.72
41.5,41.5
41.49,41.49
41.48,41.48
41.47,41.47
41.46,41.46
41.45,41.45
41.44,41.44
41.43,41.43
41.42,41.42
41.41,41.41
41.39,41.39
41.38,41.38
41.37,41.37
41.36,41.36
41.35,41.35
41.34,41.34
41.33,41.33
41.32,41.32
41.31,41.31
41.3,41.3
41.29,41.29
41.28,41.28
41.27,41.27
41.26,41.26
45.06,45.06
46.08,46.08
46.07,46.07
44.51,44.51
44.5,44.5
44.49,44.49
42.93,42.93
42.92,42.92
34.64,34.64
36.72,36.72
30.47,30.47
24.48,24.48
74.48,74.48
55.47,55.47
64.32,64.32
66.41,66.41
82.29,82.29
84.79,84.79
82.71,82.71
80.1,80.1
84.48,84.48
82.4,82.4
80.83,80.83
81.88,81.88
83.96,83.96
82.92,82.92
76.67,76.67
76.89,76.89
76.05,76.05
75.97,75.97
75.94,75.94
75.92,75.92
75.89,75.89
75.86,75.86
75.78,75.78
75.69,75.69
75.59,75.59
75.48,75.48
76.69,76.69
76.61,76.61
76.48,76.48
76.41,76.41
76.33,76.33
76.27,76.27
76.22,76.22
76.16,76.16
76.07,76.07
71.15,71.15
71.01,71.01
70.93,70.93
70.9,70.9
