Country_Name,Jurisdiction
"Afghanistan, Islamic Republic of",NAT_TOTAL
"Albania, Republic of",NAT_TOTAL
Antarctica (the territory South of 60 deg S),NAT_TOTAL
"Algeria, People's Democratic Republic of",NAT_TOTAL
American Samoa,NAT_TOTAL
"Andorra, Principality of",NAT_TOTAL
"Angola, Republic of",NAT_TOTAL
Antigua and Barbuda,NAT_TOTAL
"Azerbaijan, Republic of",NAT_TOTAL
"Argentina, Argentine Republic",NAT_TOTAL
"Australia, Commonwealth of",NAT_TOTAL
"Austria, Republic of",NAT_TOTAL
"Bahamas, Commonwealth of the",NAT_TOTAL
"Bahrain, Kingdom of",NAT_TOTAL
"Bangladesh, People's Republic of",NAT_TOTAL
"Armenia, Republic of",NAT_TOTAL
Barbados,NAT_TOTAL
"Belgium, Kingdom of",NAT_TOTAL
Bermuda,NAT_TOTAL
"Bhutan, Kingdom of",NAT_TOTAL
"Bolivia, Republic of",NAT_TOTAL
Bosnia and Herzegovina,NAT_TOTAL
"Botswana, Republic of",NAT_TOTAL
Bouvet Island (Bouvetoya),NAT_TOTAL
"Brazil, Federative Republic of",NAT_TOTAL
Belize,NAT_TOTAL
British Indian Ocean Territory (Chagos Archipelago),NAT_TOTAL
Solomon Islands,NAT_TOTAL
British Virgin Islands,NAT_TOTAL
Brunei Darussalam,NAT_TOTAL
"Bulgaria, Republic of",NAT_TOTAL
"Myanmar, Union of",NAT_TOTAL
"Burundi, Republic of",NAT_TOTAL
"Belarus, Republic of",NAT_TOTAL
"Cambodia, Kingdom of",NAT_TOTAL
"Cameroon, Republic of",NAT_TOTAL
Canada,NAT_TOTAL
"Cape Verde, Republic of",NAT_TOTAL
Cayman Islands,NAT_TOTAL
Central African Republic,NAT_TOTAL
"Sri Lanka, Democratic Socialist Republic of",NAT_TOTAL
"Chad, Republic of",NAT_TOTAL
"Chile, Republic of",NAT_TOTAL
"China, People's Republic of",NAT_TOTAL
Taiwan,NAT_TOTAL
Christmas Island,NAT_TOTAL
Cocos (Keeling) Islands,NAT_TOTAL
"Colombia, Republic of",NAT_TOTAL
"Comoros, Union of the",NAT_TOTAL
Mayotte,NAT_TOTAL
"Congo, Republic of the",NAT_TOTAL
"Congo, Democratic Republic of the",NAT_TOTAL
Cook Islands,NAT_TOTAL
"Costa Rica, Republic of",NAT_TOTAL
"Croatia, Republic of",NAT_TOTAL
"Cuba, Republic of",NAT_TOTAL
"Cyprus, Republic of",NAT_TOTAL
Czech Republic,NAT_TOTAL
"Benin, Republic of",NAT_TOTAL
"Denmark, Kingdom of",NAT_TOTAL
"Dominica, Commonwealth of",NAT_TOTAL
Dominican Republic,NAT_TOTAL
"Ecuador, Republic of",NAT_TOTAL
"El Salvador, Republic of",NAT_TOTAL
"Equatorial Guinea, Republic of",NAT_TOTAL
"Ethiopia, Federal Democratic Republic of",NAT_TOTAL
"Eritrea, State of",NAT_TOTAL
"Estonia, Republic of",NAT_TOTAL
Faroe Islands,NAT_TOTAL
Falkland Islands (Malvinas),NAT_TOTAL
South Georgia and the South Sandwich Islands,NAT_TOTAL
"Fiji, Republic of the Fiji Islands",NAT_TOTAL
"Finland, Republic of",NAT_TOTAL
?land Islands,NAT_TOTAL
"France, French Republic",NAT_TOTAL
French Guiana,NAT_TOTAL
French Polynesia,NAT_TOTAL
French Southern Territories,NAT_TOTAL
"Djibouti, Republic of",NAT_TOTAL
"Gabon, Gabonese Republic",NAT_TOTAL
Georgia,NAT_TOTAL
"Gambia, Republic of the",NAT_TOTAL
"Palestinian Territory, Occupied",NAT_TOTAL
"Germany, Federal Republic of",NAT_TOTAL
"Ghana, Republic of",NAT_TOTAL
Gibraltar,NAT_TOTAL
"Kiribati, Republic of",NAT_TOTAL
"Greece, Hellenic Republic",NAT_TOTAL
Greenland,NAT_TOTAL
Grenada,NAT_TOTAL
Guadeloupe,NAT_TOTAL
Guam,NAT_TOTAL
"Guatemala, Republic of",NAT_TOTAL
"Guinea, Republic of",NAT_TOTAL
"Guyana, Co-operative Republic of",NAT_TOTAL
"Haiti, Republic of",NAT_TOTAL
Heard Island and McDonald Islands,NAT_TOTAL
Holy See (Vatican City State),NAT_TOTAL
"Honduras, Republic of",NAT_TOTAL
"Hong Kong, Special Administrative Region of China",NAT_TOTAL
"Hungary, Republic of",NAT_TOTAL
"Iceland, Republic of",NAT_TOTAL
"India, Republic of",NAT_TOTAL
"Indonesia, Republic of",NAT_TOTAL
"Iran, Islamic Republic of",NAT_TOTAL
"Iraq, Republic of",NAT_TOTAL
Ireland,NAT_TOTAL
"Israel, State of",NAT_TOTAL
"Italy, Italian Republic",NAT_TOTAL
"Cote d'Ivoire, Republic of",NAT_TOTAL
Jamaica,NAT_TOTAL
Japan,NAT_TOTAL
"Kazakhstan, Republic of",NAT_TOTAL
"Jordan, Hashemite Kingdom of",NAT_TOTAL
"Kenya, Republic of",NAT_TOTAL
"Korea, Democratic People's Republic of",NAT_TOTAL
"Korea, Republic of",NAT_TOTAL
"Kuwait, State of",NAT_TOTAL
Kyrgyz Republic,NAT_TOTAL
Lao People's Democratic Republic,NAT_TOTAL
"Lebanon, Lebanese Republic",NAT_TOTAL
"Lesotho, Kingdom of",NAT_TOTAL
"Latvia, Republic of",NAT_TOTAL
"Liberia, Republic of",NAT_TOTAL
Libyan Arab Jamahiriya,NAT_TOTAL
"Liechtenstein, Principality of",NAT_TOTAL
"Lithuania, Republic of",NAT_TOTAL
"Luxembourg, Grand Duchy of",NAT_TOTAL
"Macao, Special Administrative Region of China",NAT_TOTAL
"Madagascar, Republic of",NAT_TOTAL
"Malawi, Republic of",NAT_TOTAL
Malaysia,NAT_TOTAL
"Maldives, Republic of",NAT_TOTAL
"Mali, Republic of",NAT_TOTAL
"Malta, Republic of",NAT_TOTAL
Martinique,NAT_TOTAL
"Mauritania, Islamic Republic of",NAT_TOTAL
"Mauritius, Republic of",NAT_TOTAL
"Mexico, United Mexican States",NAT_TOTAL
"Monaco, Principality of",NAT_TOTAL
Mongolia,NAT_TOTAL
"Moldova, Republic of",NAT_TOTAL
"Montenegro, Republic of",NAT_TOTAL
Montserrat,NAT_TOTAL
"Morocco, Kingdom of",NAT_TOTAL
"Mozambique, Republic of",NAT_TOTAL
"Oman, Sultanate of",NAT_TOTAL
"Namibia, Republic of",NAT_TOTAL
"Nauru, Republic of",NAT_TOTAL
"Nepal, State of",NAT_TOTAL
"Netherlands, Kingdom of the",NAT_TOTAL
Netherlands Antilles,NAT_TOTAL
Curaçao,NAT_TOTAL
Aruba,NAT_TOTAL
Sint Maarten (Netherlands),NAT_TOTAL
"Bonaire, Sint Eustatius and Saba",NAT_TOTAL
New Caledonia,NAT_TOTAL
"Vanuatu, Republic of",NAT_TOTAL
New Zealand,NAT_TOTAL
"Nicaragua, Republic of",NAT_TOTAL
"Niger, Republic of",NAT_TOTAL
"Nigeria, Federal Republic of",NAT_TOTAL
Niue,NAT_TOTAL
Norfolk Island,NAT_TOTAL
"Norway, Kingdom of",NAT_TOTAL
"Northern Mariana Islands, Commonwealth of the",NAT_TOTAL
United States Minor Outlying Islands,NAT_TOTAL
"Micronesia, Federated States of",NAT_TOTAL
"Marshall Islands, Republic of the",NAT_TOTAL
"Palau, Republic of",NAT_TOTAL
"Pakistan, Islamic Republic of",NAT_TOTAL
"Panama, Republic of",NAT_TOTAL
"Papua New Guinea, Independent State of",NAT_TOTAL
"Paraguay, Republic of",NAT_TOTAL
"Peru, Republic of",NAT_TOTAL
"Philippines, Republic of the",NAT_TOTAL
Pitcairn Islands,NAT_TOTAL
"Poland, Republic of",NAT_TOTAL
"Portugal, Portuguese Republic",NAT_TOTAL
"Guinea-Bissau, Republic of",NAT_TOTAL
"Timor-Leste, Democratic Republic of",NAT_TOTAL
"Puerto Rico, Commonwealth of",NAT_TOTAL
"Qatar, State of",NAT_TOTAL
Reunion,NAT_TOTAL
Romania,NAT_TOTAL
Russian Federation,NAT_TOTAL
"Rwanda, Republic of",NAT_TOTAL
Saint Barthelemy,NAT_TOTAL
Saint Helena,NAT_TOTAL
"Saint Kitts and Nevis, Federation of",NAT_TOTAL
Anguilla,NAT_TOTAL
Saint Lucia,NAT_TOTAL
Saint Martin,NAT_TOTAL
Saint Pierre and Miquelon,NAT_TOTAL
Saint Vincent and the Grenadines,NAT_TOTAL
"San Marino, Republic of",NAT_TOTAL
"Sao Tome and Principe, Democratic Republic of",NAT_TOTAL
"Saudi Arabia, Kingdom of",NAT_TOTAL
"Senegal, Republic of",NAT_TOTAL
"Serbia, Republic of",NAT_TOTAL
"Seychelles, Republic of",NAT_TOTAL
"Sierra Leone, Republic of",NAT_TOTAL
"Singapore, Republic of",NAT_TOTAL
Slovakia (Slovak Republic),NAT_TOTAL
"Vietnam, Socialist Republic of",NAT_TOTAL
"Slovenia, Republic of",NAT_TOTAL
"Somalia, Somali Republic",NAT_TOTAL
"South Africa, Republic of",NAT_TOTAL
"Zimbabwe, Republic of",NAT_TOTAL
"Spain, Kingdom of",NAT_TOTAL
South Sudan,NAT_TOTAL
Western Sahara,NAT_TOTAL
"Sudan, Republic of",NAT_TOTAL
"Suriname, Republic of",NAT_TOTAL
Svalbard & Jan Mayen Islands,NAT_TOTAL
"Swaziland, Kingdom of",NAT_TOTAL
"Sweden, Kingdom of",NAT_TOTAL
"Switzerland, Swiss Confederation",NAT_TOTAL
Syrian Arab Republic,NAT_TOTAL
"Tajikistan, Republic of",NAT_TOTAL
"Thailand, Kingdom of",NAT_TOTAL
"Togo, Togolese Republic",NAT_TOTAL
Tokelau,NAT_TOTAL
"Tonga, Kingdom of",NAT_TOTAL
"Trinidad and Tobago, Republic of",NAT_TOTAL
United Arab Emirates,NAT_TOTAL
"Tunisia, Tunisian Republic",NAT_TOTAL
"Turkey, Republic of",NAT_TOTAL
Turkmenistan,NAT_TOTAL
Turks and Caicos Islands,NAT_TOTAL
Tuvalu,NAT_TOTAL
"Uganda, Republic of",NAT_TOTAL
Ukraine,NAT_TOTAL
"Macedonia, The Former Yugoslav Republic of",NAT_TOTAL
"Egypt, Arab Republic of",NAT_TOTAL
United Kingdom of Great Britain & Northern Ireland,NAT_TOTAL
"Guernsey, Bailiwick of",NAT_TOTAL
"Jersey, Bailiwick of",NAT_TOTAL
Isle of Man,NAT_TOTAL
"Tanzania, United Republic of",NAT_TOTAL
United States of America,NAT_TOTAL
United States Virgin Islands,NAT_TOTAL
Burkina Faso,NAT_TOTAL
"Uruguay, Eastern Republic of",NAT_TOTAL
"Uzbekistan, Republic of",NAT_TOTAL
"Venezuela, Bolivarian Republic of",NAT_TOTAL
Wallis and Futuna,NAT_TOTAL
"Samoa, Independent State of",NAT_TOTAL
Yemen,NAT_TOTAL
"Zambia, Republic of",NAT_TOTAL
Disputed Territory,NAT_TOTAL
Iraq-Saudi Arabia Neutral Zone,NAT_TOTAL
United Nations Neutral Zone,NAT_TOTAL
Spratly Islands,NAT_TOTAL
Kosovo,NAT_TOTAL
