StringencyIndex_Average,StringencyIndex_Average_ForDisplay
0,0
11.11,11.11
22.22,22.22
33.33,33.33
44.44,44.44
85.19,85.19
88.89,88.89
81.48,81.48
66.67,66.67
62.96,62.96
57.41,57.41
53.7,53.7
47.22,47.22
58.33,58.33
62.04,62.04
69.44,69.44
73.15,73.15
63.89,63.89
43.52,43.52
35.19,35.19
31.48,31.48
38.89,38.89
40.74,40.74
48.15,48.15
46.3,46.3
56.48,56.48
67.59,67.59
60.19,60.19
51.85,51.85
45.37,45.37
25.93,25.93
28.7,28.7
50.93,50.93
34.26,34.26
41.67,41.67
37.96,37.96
8.33,8.33
27.78,27.78
59.26,59.26
78.7,78.7
84.26,84.26
75,75
71.3,71.3
25,25
16.67,16.67
9.26,9.26
12.04,12.04
30.56,30.56
26.85,26.85
54.63,54.63
36.11,36.11
56.02,56.02
52.31,52.31
18.52,18.52
42.59,42.59
19.44,19.44
5.56,5.56
2.78,2.78
90.74,90.74
75.93,75.93
77.78,77.78
76.39,76.39
79.17,79.17
81.02,81.02
65.74,65.74
58.8,58.8
61.11,61.11
55.56,55.56
56.94,56.94
62.5,62.5
55.09,55.09
71.59,71.59
71.51,71.51
71.49,71.49
71.41,71.41
71.4,71.4
71.36,71.36
68.58,68.58
68.48,68.48
68.4,68.4
68.34,68.34
64.47,64.47
64.42,64.42
64.37,64.37
64.32,64.32
64.28,64.28
42.51,42.51
42.45,42.45
42.41,42.41
42.37,42.37
42.3,42.3
43.29,43.29
43.25,43.25
43.2,43.2
28.39,28.39
28.33,28.33
28.31,28.31
28.28,28.28
28.27,28.27
28.24,28.24
28.23,28.23
28.21,28.21
22.65,22.65
89.81,89.81
83.33,83.33
86.11,86.11
68.52,68.52
59.97,59.97
59.96,59.96
59.95,59.95
59.94,59.94
45.13,45.13
45.12,45.12
45.11,45.11
45.1,45.1
3.7,3.7
12.96,12.96
24.07,24.07
52.78,52.78
50,50
49.07,49.07
43.23,43.23
41.51,41.51
45.22,45.22
45.05,45.05
54.31,54.31
54.26,54.26
54.09,54.09
51.64,51.64
36.83,36.83
36.46,36.46
36.45,36.45
33.34,33.34
21.29,21.29
15.74,15.74
21.3,21.3
32.41,32.41
70.37,70.37
87.04,87.04
74.07,74.07
72.22,72.22
57.87,57.87
57.26,57.26
52.17,52.17
55.06,55.06
57.81,57.81
57.78,57.78
57.75,57.75
57.72,57.72
57.7,57.7
57.68,57.68
57.66,57.66
57.64,57.64
57.6,57.6
57.51,57.51
57.49,57.49
59.33,59.33
59.3,59.3
59.22,59.22
59.19,59.19
59.17,59.17
59.12,59.12
59.1,59.1
59.08,59.08
59.06,59.06
59.03,59.03
59.02,59.02
58.99,58.99
58.98,58.98
58.97,58.97
58.95,58.95
58.94,58.94
58.93,58.93
58.92,58.92
58.91,58.91
58.9,58.9
59.81,59.81
59.8,59.8
49.6,49.6
38.95,38.95
38.92,38.92
38.88,38.88
38.8,38.8
38.76,38.76
35.98,35.98
35.67,35.67
37,37
36.97,36.97
36.93,36.93
36.86,36.86
36.78,36.78
36.72,36.72
36.67,36.67
36.65,36.65
36.62,36.62
36.57,36.57
36.5,36.5
36.39,36.39
36.32,36.32
35.05,35.05
35.04,35.04
42.13,42.13
39.35,39.35
44.57,44.57
44.56,44.56
44.55,44.55
44.54,44.54
40.83,40.83
40.82,40.82
40.81,40.81
40.8,40.8
40.78,40.78
40.77,40.77
40.76,40.76
40.75,40.75
35.22,35.22
35.21,35.21
35.2,35.2
35.18,35.18
35.17,35.17
35.16,35.16
32.37,32.37
32.35,32.35
32.24,32.24
32.23,32.23
32.3,32.3
32.27,32.27
32.26,32.26
32.2,32.2
29.42,29.42
34.98,34.98
23.15,23.15
100,100
98.15,98.15
94.44,94.44
92.59,92.59
87.96,87.96
82.87,82.87
80.09,80.09
81.94,81.94
77.31,77.31
71.76,71.76
74.22,74.22
74.19,74.19
74.17,74.17
74.14,74.14
74.12,74.12
74.1,74.1
74.09,74.09
74.06,74.06
74.03,74.03
74.01,74.01
73.97,73.97
73.94,73.94
74.84,74.84
74.83,74.83
74.79,74.79
74.76,74.76
74.72,74.72
74.68,74.68
74.64,74.64
74.61,74.61
74.6,74.6
74.58,74.58
74.54,74.54
74.5,74.5
74.46,74.46
74.42,74.42
74.4,74.4
74.38,74.38
74.35,74.35
74.3,74.3
74.26,74.26
74.21,74.21
74.08,74.08
74.04,74.04
73.99,73.99
73.95,73.95
73.9,73.9
73.87,73.87
73.85,73.85
73.8,73.8
73.75,73.75
73.71,73.71
73.67,73.67
73.64,73.64
73.61,73.61
73.58,73.58
73.55,73.55
73.52,73.52
73.48,73.48
73.44,73.44
73.41,73.41
73.4,73.4
73.36,73.36
73.33,73.33
73.3,73.3
73.28,73.28
73.26,73.26
73.24,73.24
73.23,73.23
73.21,73.21
73.18,73.18
73.12,73.12
40.7,40.7
40.69,40.69
40.68,40.68
40.66,40.66
40.65,40.65
40.64,40.64
40.62,40.62
40.61,40.61
40.6,40.6
40.59,40.59
40.58,40.58
40.56,40.56
40.55,40.55
40.54,40.54
40.53,40.53
40.52,40.52
40.51,40.51
40.5,40.5
40.49,40.49
40.48,40.48
40.47,40.47
40.46,40.46
40.45,40.45
40.44,40.44
40.43,40.43
40.42,40.42
40.41,40.41
40.4,40.4
40.39,40.39
40.38,40.38
40.37,40.37
40.36,40.36
40.35,40.35
40.34,40.34
40.33,40.33
40.31,40.31
40.29,40.29
38.52,38.52
38.42,38.42
38.32,38.32
38.21,38.21
38.17,38.17
38.14,38.14
38.12,38.12
38.03,38.03
37.94,37.94
37.86,37.86
37.78,37.78
37.75,37.75
37.72,37.72
37.64,37.64
37.56,37.56
37.5,37.5
37.42,37.42
37.35,37.35
37.32,37.32
37.3,37.3
37.23,37.23
36.22,36.22
36.2,36.2
36.14,36.14
36.08,36.08
36.05,36.05
36.03,36.03
35.97,35.97
35.91,35.91
35.86,35.86
35.8,35.8
35.75,35.75
35.73,35.73
35.71,35.71
35.66,35.66
35.6,35.6
35.55,35.55
35.51,35.51
35.5,35.5
35.43,35.43
35.37,35.37
35.32,35.32
35.27,35.27
35.26,35.26
36,36
35.99,35.99
35.93,35.93
35.87,35.87
35.81,35.81
26.48,26.48
26.42,26.42
26.39,26.39
26.38,26.38
26.32,26.32
26.28,26.28
26.23,26.23
26.19,26.19
26.15,26.15
26.14,26.14
26.13,26.13
26.09,26.09
26.05,26.05
26.02,26.02
25.98,25.98
25.95,25.95
25.89,25.89
25.86,25.86
25.82,25.82
25.78,25.78
25.75,25.75
25.73,25.73
25.69,25.69
25.66,25.66
25.62,25.62
25.59,25.59
25.56,25.56
25.55,25.55
25.54,25.54
25.51,25.51
25.48,25.48
25.44,25.44
25.41,25.41
25.39,25.39
25.37,25.37
25.34,25.34
25.31,25.31
25.29,25.29
25.26,25.26
25.23,25.23
25.22,25.22
25.19,25.19
25.16,25.16
25.13,25.13
25.11,25.11
25.08,25.08
25.07,25.07
25.06,25.06
21.34,21.34
21.33,21.33
21.31,21.31
21.28,21.28
21.27,21.27
21.26,21.26
21.25,21.25
21.24,21.24
21.23,21.23
21.21,21.21
21.2,21.2
21.19,21.19
21.18,21.18
21.17,21.17
18.38,18.38
18.37,18.37
18.36,18.36
18.35,18.35
18.34,18.34
18.33,18.33
18.32,18.32
18.31,18.31
18.3,18.3
18.29,18.29
17.78,17.78
17.77,17.77
17.76,17.76
17.75,17.75
17.74,17.74
17.73,17.73
17.72,17.72
17.71,17.71
17.7,17.7
17.69,17.69
17.68,17.68
17.67,17.67
17.66,17.66
17.65,17.65
17.64,17.64
17.63,17.63
17.62,17.62
17.61,17.61
17.6,17.6
17.59,17.59
17.58,17.58
17.57,17.57
17.56,17.56
17.55,17.55
17.54,17.54
17.53,17.53
16.26,16.26
13.47,13.47
13.46,13.46
13.89,13.89
64.35,64.35
67.13,67.13
65.28,65.28
63.43,63.43
50.46,50.46
68.98,68.98
75.46,75.46
68.06,68.06
60.65,60.65
70.83,70.83
78.24,78.24
53.24,53.24
44.91,44.91
46.76,46.76
54.17,54.17
48.61,48.61
47.69,47.69
72.69,72.69
40.28,40.28
49.35,49.35
47.95,47.95
47.93,47.93
47.92,47.92
49.3,49.3
49.29,49.29
49.28,49.28
49.27,49.27
45.83,45.83
66.2,66.2
51.27,51.27
51.26,51.26
51.25,51.25
51.24,51.24
39.15,39.15
39.14,39.14
39.13,39.13
39.12,39.12
39.11,39.11
33.54,33.54
33.53,33.53
33.52,33.52
33.51,33.51
36.28,36.28
36.27,36.27
36.26,36.26
36.24,36.24
36.23,36.23
36.21,36.21
36.19,36.19
36.17,36.17
36.15,36.15
36.12,36.12
36.09,36.09
36.07,36.07
36.02,36.02
36.01,36.01
35.96,35.96
35.94,35.94
35.92,35.92
35.9,35.9
35.89,35.89
35.85,35.85
42.6,42.6
42.58,42.58
42.57,42.57
42.56,42.56
42.55,42.55
39.77,39.77
39.76,39.76
39.75,39.75
36.96,36.96
36.95,36.95
34.17,34.17
64.81,64.81
37.04,37.04
82.41,82.41
79.63,79.63
76.85,76.85
66.14,66.14
66.06,66.06
65.98,65.98
65.94,65.94
65.92,65.92
65.89,65.89
