Country_id,Country_Name,Country_Code,Country_Number
1,"Afghanistan, Islamic Republic of",AFG,4
2,"Albania, Republic of",ALB,8
3,Antarctica (the territory South of 60 deg S),ATA,10
4,"Algeria, People's Democratic Republic of",DZA,12
5,American Samoa,ASM,16
6,"Andorra, Principality of",AND,20
7,"Angola, Republic of",AGO,24
8,Antigua and Barbuda,ATG,28
9,"Azerbaijan, Republic of",AZE,31
10,"Argentina, Argentine Republic",ARG,32
11,"Australia, Commonwealth of",AUS,36
12,"Austria, Republic of",AUT,40
13,"Bahamas, Commonwealth of the",BHS,44
14,"Bahrain, Kingdom of",BHR,48
15,"Bangladesh, People's Republic of",BGD,50
16,"Armenia, Republic of",ARM,51
17,Barbados,BRB,52
18,"Belgium, Kingdom of",BEL,56
19,Bermuda,BMU,60
20,"Bhutan, Kingdom of",BTN,64
21,"Bolivia, Republic of",BOL,68
22,Bosnia and Herzegovina,BIH,70
23,"Botswana, Republic of",BWA,72
24,Bouvet Island (Bouvetoya),BVT,74
25,"Brazil, Federative Republic of",BRA,76
26,Belize,BLZ,84
27,British Indian Ocean Territory (Chagos Archipelago),IOT,86
28,Solomon Islands,SLB,90
29,British Virgin Islands,VGB,92
30,Brunei Darussalam,BRN,96
31,"Bulgaria, Republic of",BGR,100
32,"Myanmar, Union of",MMR,104
33,"Burundi, Republic of",BDI,108
34,"Belarus, Republic of",BLR,112
35,"Cambodia, Kingdom of",KHM,116
36,"Cameroon, Republic of",CMR,120
37,Canada,CAN,124
38,"Cape Verde, Republic of",CPV,132
39,Cayman Islands,CYM,136
40,Central African Republic,CAF,140
41,"Sri Lanka, Democratic Socialist Republic of",LKA,144
42,"Chad, Republic of",TCD,148
43,"Chile, Republic of",CHL,152
44,"China, People's Republic of",CHN,156
45,Taiwan,TWN,158
46,Christmas Island,CXR,162
47,Cocos (Keeling) Islands,CCK,166
48,"Colombia, Republic of",COL,170
49,"Comoros, Union of the",COM,174
50,Mayotte,MYT,175
51,"Congo, Republic of the",COG,178
52,"Congo, Democratic Republic of the",COD,180
53,Cook Islands,COK,184
54,"Costa Rica, Republic of",CRI,188
55,"Croatia, Republic of",HRV,191
56,"Cuba, Republic of",CUB,192
57,"Cyprus, Republic of",CYP,196
58,Czech Republic,CZE,203
59,"Benin, Republic of",BEN,204
60,"Denmark, Kingdom of",DNK,208
61,"Dominica, Commonwealth of",DMA,212
62,Dominican Republic,DOM,214
63,"Ecuador, Republic of",ECU,218
64,"El Salvador, Republic of",SLV,222
65,"Equatorial Guinea, Republic of",GNQ,226
66,"Ethiopia, Federal Democratic Republic of",ETH,231
67,"Eritrea, State of",ERI,232
68,"Estonia, Republic of",EST,233
69,Faroe Islands,FRO,234
70,Falkland Islands (Malvinas),FLK,238
71,South Georgia and the South Sandwich Islands,SGS,239
72,"Fiji, Republic of the Fiji Islands",FJI,242
73,"Finland, Republic of",FIN,246
74,?land Islands,ALA,248
75,"France, French Republic",FRA,250
76,French Guiana,GUF,254
77,French Polynesia,PYF,258
78,French Southern Territories,ATF,260
79,"Djibouti, Republic of",DJI,262
80,"Gabon, Gabonese Republic",GAB,266
81,Georgia,GEO,268
82,"Gambia, Republic of the",GMB,270
83,"Palestinian Territory, Occupied",PSE,275
84,"Germany, Federal Republic of",DEU,276
85,"Ghana, Republic of",GHA,288
86,Gibraltar,GIB,292
87,"Kiribati, Republic of",KIR,296
88,"Greece, Hellenic Republic",GRC,300
89,Greenland,GRL,304
90,Grenada,GRD,308
91,Guadeloupe,GLP,312
92,Guam,GUM,316
93,"Guatemala, Republic of",GTM,320
94,"Guinea, Republic of",GIN,324
95,"Guyana, Co-operative Republic of",GUY,328
96,"Haiti, Republic of",HTI,332
97,Heard Island and McDonald Islands,HMD,334
98,Holy See (Vatican City State),VAT,336
99,"Honduras, Republic of",HND,340
100,"Hong Kong, Special Administrative Region of China",HKG,344
101,"Hungary, Republic of",HUN,348
102,"Iceland, Republic of",ISL,352
103,"India, Republic of",IND,356
104,"Indonesia, Republic of",IDN,360
105,"Iran, Islamic Republic of",IRN,364
106,"Iraq, Republic of",IRQ,368
107,Ireland,IRL,372
108,"Israel, State of",ISR,376
109,"Italy, Italian Republic",ITA,380
110,"Cote d'Ivoire, Republic of",CIV,384
111,Jamaica,JAM,388
112,Japan,JPN,392
113,"Kazakhstan, Republic of",KAZ,398
114,"Jordan, Hashemite Kingdom of",JOR,400
115,"Kenya, Republic of",KEN,404
116,"Korea, Democratic People's Republic of",PRK,408
117,"Korea, Republic of",KOR,410
118,"Kuwait, State of",KWT,414
119,Kyrgyz Republic,KGZ,417
120,Lao People's Democratic Republic,LAO,418
121,"Lebanon, Lebanese Republic",LBN,422
122,"Lesotho, Kingdom of",LSO,426
