PopulationVaccinated,MajorityVaccinated
0,NV
0.01,NV
0.02,NV
0.03,NV
0.04,NV
0.05,NV
0.06,NV
0.07,NV
0.08,NV
0.09,NV
0.1,NV
0.11,NV
0.12,NV
0.13,NV
0.14,NV
0.15,NV
0.16,NV
0.17,NV
0.18,NV
0.19,NV
0.2,NV
0.21,NV
0.22,NV
0.23,NV
0.24,NV
0.25,NV
0.26,NV
0.27,NV
0.28,NV
0.29,NV
0.3,NV
0.31,NV
0.32,NV
0.33,NV
0.34,NV
0.35,NV
0.36,NV
0.37,NV
0.38,NV
0.39,NV
0.4,NV
0.41,NV
0.42,NV
0.43,NV
0.44,NV
0.45,NV
0.46,NV
0.47,NV
0.48,NV
0.49,NV
0.5,NV
0.51,NV
0.52,NV
0.53,NV
0.54,NV
0.55,NV
0.56,NV
0.57,NV
0.58,NV
0.59,NV
0.6,NV
0.61,NV
0.62,NV
0.63,NV
0.64,NV
0.65,NV
0.66,NV
0.67,NV
0.68,NV
0.69,NV
0.7,NV
0.71,NV
0.72,NV
0.73,NV
0.74,NV
0.75,NV
0.76,NV
0.77,NV
0.78,NV
0.79,NV
0.8,NV
0.81,NV
0.82,NV
0.83,NV
0.84,NV
0.85,NV
0.86,NV
0.87,NV
0.88,NV
0.89,NV
0.9,NV
0.91,NV
0.92,NV
0.93,NV
0.94,NV
0.95,NV
0.96,NV
0.97,NV
0.98,NV
0.99,NV
1,NV
1.01,NV
1.02,NV
1.03,NV
1.04,NV
1.05,NV
1.06,NV
1.07,NV
1.08,NV
1.09,NV
1.1,NV
1.11,NV
1.12,NV
1.13,NV
1.14,NV
1.15,NV
1.16,NV
1.17,NV
1.18,NV
1.19,NV
1.2,NV
1.21,NV
1.22,NV
1.23,NV
1.24,NV
1.25,NV
1.26,NV
1.27,NV
1.28,NV
1.29,NV
1.3,NV
1.31,NV
1.32,NV
1.33,NV
1.34,NV
1.35,NV
1.36,NV
1.37,NV
1.38,NV
1.39,NV
1.4,NV
1.41,NV
1.42,NV
1.43,NV
1.44,NV
1.45,NV
1.46,NV
1.47,NV
1.48,NV
1.49,NV
1.5,NV
1.51,NV
1.52,NV
1.53,NV
1.54,NV
1.55,NV
1.56,NV
1.57,NV
1.58,NV
1.59,NV
1.6,NV
1.61,NV
1.62,NV
1.63,NV
1.64,NV
1.65,NV
1.66,NV
1.67,NV
1.68,NV
1.69,NV
1.7,NV
1.71,NV
1.72,NV
1.73,NV
1.74,NV
1.75,NV
1.76,NV
1.77,NV
1.78,NV
1.79,NV
1.8,NV
1.81,NV
1.82,NV
1.83,NV
1.84,NV
1.85,NV
1.86,NV
1.87,NV
1.88,NV
1.89,NV
1.9,NV
1.91,NV
1.92,NV
1.93,NV
1.94,NV
1.95,NV
1.96,NV
1.97,NV
1.98,NV
1.99,NV
2,NV
2.01,NV
2.02,NV
2.03,NV
2.04,NV
2.05,NV
2.06,NV
2.07,NV
2.08,NV
2.09,NV
2.1,NV
2.11,NV
2.12,NV
2.13,NV
2.14,NV
2.15,NV
2.16,NV
2.17,NV
2.18,NV
2.19,NV
2.2,NV
2.21,NV
2.22,NV
2.23,NV
2.24,NV
2.25,NV
2.26,NV
2.27,NV
2.28,NV
2.29,NV
2.3,NV
2.31,NV
2.32,NV
2.33,NV
2.34,NV
2.35,NV
2.36,NV
2.37,NV
2.38,NV
2.39,NV
2.4,NV
2.41,NV
2.42,NV
2.43,NV
2.44,NV
2.45,NV
2.46,NV
2.47,NV
2.48,NV
2.49,NV
2.5,NV
2.51,NV
2.52,NV
2.53,NV
2.54,NV
2.55,NV
2.56,NV
2.57,NV
2.58,NV
2.59,NV
2.6,NV
2.61,NV
2.62,NV
2.63,NV
2.64,NV
