Data_id,ConfirmedCases,ConfirmedDeaths,PopulationVaccinated
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,2,0,0
74,2,0,0
75,2,0,0
76,2,0,0
77,3,0,0
78,4,0,0
79,4,0,0
80,5,0,0
81,5,0,0
82,9,0,0
83,9,0,0
84,12,0,0
85,17,0,0
86,28,0,0
87,33,0,0
88,46,0,0
89,50,0,0
90,50,0,0
91,55,0,0
92,55,0,0
93,60,0,0
94,62,0,0
95,64,0,0
96,64,0,0
97,71,0,0
98,74,0,0
99,77,0,0
100,82,0,0
101,86,0,0
102,92,0,0
103,92,0,0
104,92,0,0
105,92,0,0
106,93,1,0
107,95,2,0
108,96,2,0
109,96,2,0
110,97,2,0
111,97,2,0
112,97,2,0
113,100,2,0
114,100,2,0
115,100,2,0
116,100,2,0
117,100,2,0
118,100,2,0
119,100,2,0
120,100,2,0
121,100,2,0
122,100,2,0
123,100,2,0
124,100,2,0
125,100,2,0
126,101,2,0
127,101,2,0
128,101,3,0
129,101,3,0
130,101,3,0
131,101,3,0
132,101,3,0
133,101,3,0
134,101,3,0
135,101,3,0
136,101,3,0
137,101,3,0
138,101,3,0
139,101,3,0
140,101,3,0
141,101,3,0
142,101,3,0
143,101,3,0
144,101,3,0
145,101,3,0
146,101,3,0
147,101,3,0
148,101,3,0
149,101,3,0
150,101,3,0
151,101,3,0
152,101,3,0
153,101,3,0
154,101,3,0
155,101,3,0
156,101,3,0
157,101,3,0
158,101,3,0
159,101,3,0
160,101,3,0
161,101,3,0
162,101,3,0
163,101,3,0
164,101,3,0
165,101,3,0
166,101,3,0
167,101,3,0
168,101,3,0
169,101,3,0
170,101,3,0
171,101,3,0
172,101,3,0
173,101,3,0
174,101,3,0
175,101,3,0
176,101,3,0
177,101,3,0
178,101,3,0
179,101,3,0
180,101,3,0
181,103,3,0
182,103,3,0
183,103,3,0
184,104,3,0
185,104,3,0
186,105,3,0
187,105,3,0
188,105,3,0
189,105,3,0
190,105,3,0
191,105,3,0
192,105,3,0
193,105,3,0
194,105,3,0
195,105,3,0
196,106,3,0
197,106,3,0
198,108,3,0
199,111,3,0
200,111,3,0
201,113,3,0
202,115,3,0
203,117,3,0
204,117,3,0
205,117,3,0
206,118,3,0
207,119,3,0
208,119,3,0
209,119,3,0
210,119,3,0
211,119,3,0
212,120,3,0
213,121,3,0
214,121,3,0
215,122,3,0
216,124,3,0
217,132,3,0
218,171,3,0
219,263,3,0
220,396,3,0
221,509,3,0
222,563,3,0
223,630,3,0
224,717,3,0
225,798,3,0
226,894,4,0
227,973,4,0
228,1048,4,0
229,1102,4,0
